name_romaji	name_english	name_japanese	is_unverified	is_external	is_movie	is_adult	is_action	is_adventure	is_comedy	is_drama	is_ecchi	is_fantasy	is_horror	is_mahou_shoujo	is_mecha	is_music	is_mystery	is_psychological	is_romance	is_sci_fi	is_slice_of_life	is_sports	is_supernatural	is_thriller	format	status	source	episodes_amount	time_required	start_date	end_date	rating_value	rating_count	company_production	company_producer	company_creator	last_modified	file_modified_first	file_modified_last	file_modified_median	filesize_min	filesize_max	filesize_median
A3! SEASON SPRING ＆ SUMMER	A3! Season Spring & Summer	A3! SEASON SPRING ＆ SUMMER	false	false	false	false	false	false	true	true	false	false	false	false	false	false	false	false	false	false	false	false	false	false	TV	Finished	Video Game	12	1440000	1578960000	1592870400	68	2880	6069	6064	6069	1715825808	1715825808	1715825808	1715825808	55201	5128720	71255
ACCA: 13-ku Kansatsu-ka	ACCA: 13-Territory Inspection Dept.	ACCA 13区監察課	false	false	false	false	false	false	false	true	false	false	false	false	false	false	true	false	false	false	true	false	false	false	TV	Finished	Manga	12	1440000	1484006400	1490659200	75	15951	11	6616	11	1713653760	1713653760	1713653760	1713653760	26129	33386	31609
ACCA: 13-ku Kansatsu-ka - Regards	ACCA: 13-Territory Inspection Dept. - Regards	ACCA13区監察課 Regards	false	true	false	false	false	false	false	true	false	false	false	false	false	false	true	false	false	false	false	false	false	false	OVA	Finished	Manga	1	2700000	1581638400	1581638400	71	2158	11	0	11	1713653772	1713653772	1713653772	1713653772	61996	61996	61996
AI no Idenshi	The Gene of AI	AIの遺電子	false	false	false	false	false	false	false	true	false	false	false	false	false	false	false	true	false	true	false	false	false	false	TV	Finished	Manga	12	1440000	1688774400	1696032000	63	3728	11	513	11	1722962204	1722962204	1722962204	1722962204	24954	64271	42979
AIR	Air	AIR	false	true	false	false	false	false	false	true	false	false	false	false	false	false	false	false	true	false	true	false	true	false	TV	Finished	Visual Novel	13	1440000	1105056000	1112313600	68	17915	2	144	2	1714235252	1709470885	1714234894	1714234630	32664	11269947	44854
AIR (Movie)	Air: The Motion Picture	AIR (劇場版)	false	false	true	false	false	false	false	true	false	false	false	false	false	false	false	false	true	false	false	false	true	false	Movie	Finished	Visual Novel	1	5460000	1107561600	1107561600	66	4138	18	61	18	1714234150	1709466847	1709466847	1709466847	103950	108402	106176
AIR in Summer	Air in Summer	AIR イン サマー	false	false	false	false	false	false	true	true	false	false	false	false	false	false	false	false	true	false	false	false	true	false	Special	Finished	Visual Novel	2	1440000	1125187200	1125792000	69	3974	2	144	2	1714235315	1714234570	1714235252	1714234570	37423	4306705	38036
AKIRA	Akira	AKIRA	false	true	true	false	true	true	false	false	false	false	true	false	false	false	false	true	false	true	false	false	true	false	Movie	Finished	Manga	1	7500000	585014400	585014400	79	88959	65	102	65	1720305670	1709466927	1720305670	1713416073	123395	4947681	125414
AMNESIA	AMNESIA	AMNESIA	false	true	false	false	false	false	false	false	false	true	false	false	false	false	true	false	true	false	false	false	false	false	TV	Finished	Visual Novel	12	1380000	1357516800	1364169600	53	18428	112	376	112	1717471911	1717471911	1717471911	1717471911	28531	51472	44387
ANEMONE: Koukyoushihen Eureka Seven Hi-Evolution	ANEMONE: Eureka Seven Hi-Evolution	ANEMONE／交響詩篇エウレカセブン ハイエボリューション	false	false	true	false	false	true	false	true	false	false	false	false	true	false	false	false	false	true	false	false	false	false	Movie	Finished	Original	1	5400000	1541808000	1541808000	64	626	4	0	4	1717472779	1709468844	1717472779	1709468845	110258	6196042	120792
ARGONAVIS from BanG Dream!	?	アルゴナビス from BanG Dream!	false	true	false	false	false	false	false	true	false	false	false	false	false	true	false	false	false	false	false	false	false	false	TV	Finished	Multimedia Project	13	1440000	1586563200	1593734400	63	1123	537	0	537	1717237646	1717237646	1717237646	1717237646	62997	80176	68927
ARIA The ANIMATION	ARIA The ANIMATION	ARIA The ANIMATION	false	true	false	false	false	false	false	false	false	true	false	false	false	false	false	false	false	true	true	false	false	false	TV	Finished	Manga	13	1440000	1128556800	1135814400	76	12918	34	217	34	1645693658	1709467083	1709467083	1709467083	23156	30520	26173
ARIA The AVVENIRE	ARIA The AVVENIRE	ARIA The AVVENIRE	false	true	false	false	false	false	false	false	false	true	false	false	false	false	false	false	false	true	true	false	false	false	Special	Finished	Manga	3	1260000	1451001600	1466726400	78	3889	333	0	333	1536452772	1709467083	1709467084	1709467084	13850	61271	23812
ARIA The BENEDIZIONE	?	ARIA The BENEDIZIONE	false	false	true	false	false	false	false	false	false	true	false	false	false	false	false	false	false	true	true	false	false	false	Movie	Finished	Manga	1	3600000	1638489600	1638489600	81	1383	7	464	7	1720502352	1720502352	1720502352	1720502352	78103	78103	78103
ARIA The CREPUSCOLO	?	ARIA The CREPUSCOLO	false	false	true	false	false	false	false	false	false	true	false	false	false	false	false	false	false	true	true	false	false	false	Movie	Finished	Manga	1	3600000	1614902400	1614902400	79	1879	7	211	7	1720501822	1720501822	1720501822	1720501822	86974	86974	86974
ARIA The NATURAL	ARIA The NATURAL	ARIA The NATURAL	false	false	false	false	false	false	false	false	false	true	false	false	false	false	false	false	false	true	true	false	false	false	TV	Finished	Manga	26	1440000	1144022400	1159142400	81	7410	34	217	34	1727821699	1723351632	1727821699	1724769114	22712	69004	39496
ATRI: My Dear Moments	ATRI -My Dear Moments-	ATRI -My Dear Moments-	false	false	false	false	false	false	false	true	false	false	false	false	false	false	false	false	true	true	false	false	false	false	TV	Releasing	Visual Novel	13	1440000	1720915200	1728172800	69	1888	6068	17	6068	1727814635	1721065384	1727814635	1724705371	22718	68672	35262
AYAKA	AYAKA	AYAKA	false	true	false	false	true	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	true	false	TV	Finished	Original	12	1440000	1688256000	1694908800	61	3390	478	6202	478	1717659887	1709467136	1717659887	1713563512	22125	72266	31001
Aa! Megami-sama!	Oh! My Goddess	ああっ女神さまっ	false	true	false	false	false	false	true	true	false	false	false	false	false	false	false	false	true	false	false	false	true	false	OVA	Finished	Manga	5	1800000	730252800	769132800	69	3230	48	23	23	1717372968	1717372968	1717372968	1717372968	52426	70198	57952
Absolute Duo	Absolute Duo	アブソリュート・デュオ	false	true	false	false	true	false	false	false	true	false	false	false	false	false	false	false	true	false	false	false	true	false	TV	Finished	Light Novel	12	1440000	1420329600	1426982400	59	47377	4418	0	4418	1717374551	1717374551	1717374551	1717374551	24372	32081	27249
Accel World	Accel World	アクセル・ワールド	false	true	false	false	true	false	false	false	false	false	false	false	false	false	false	false	true	true	false	false	false	false	TV	Finished	Light Novel	24	1440000	1333756800	1348272000	67	52751	14	79	14	1717375899	1709466810	1717375899	1717375437	23634	63630	37386
Accel World: Infinite∞Burst	Accel World: Infinite∞Burst	アクセル・ワールド -インフィニット・バースト-	false	false	true	false	true	false	false	false	false	false	false	false	false	false	false	false	false	true	false	false	false	false	Movie	Finished	Original	1	4920000	1469232000	1469232000	63	6269	14	119	14	1717375449	1709466810	1709466810	1709466810	94339	94339	94339
Acchi Kocchi	Place to Place	あっちこっち	false	true	false	false	false	false	true	false	false	false	false	false	false	false	false	false	true	false	true	false	false	false	TV	Finished	Manga	12	1440000	1333670400	1340928000	72	24304	48	144	48	1717376852	1717376852	1717376852	1717376852	24315	29736	26862
Adachi to Shimamura	Adachi and Shimamura	安達としまむら	false	true	false	false	false	false	false	false	false	false	false	false	false	false	false	false	true	false	true	false	false	false	TV	Finished	Light Novel	12	1440000	1602201600	1608854400	70	20115	200	0	200	1609192194	1709466824	1709466825	1709466824	25666	66305	33317
Afro Samurai	?	アフロサムライ	false	true	false	false	true	true	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	TV	Finished	Doujinshi	5	1620000	1167868800	1170288000	70	27370	3	53	3	1717377325	1717377325	1717377325	1717377325	11628	17264	14802
Aggressive Retsuko	Aggretsuko	アグレッシブ烈子	false	true	false	false	false	false	true	false	false	false	false	false	false	true	false	false	false	false	true	false	false	false	ONA	Finished	Original	10	900000	1524182400	1524182400	74	27792	866	150	866	1715172072	1715078144	1715172072	1715078340	16198	48696	31527
Aggressive Retsuko Season 2	Aggretsuko: Season 2	アグレッシブ烈子 シーズン2	false	false	false	false	false	false	true	false	false	false	false	false	false	true	false	false	false	false	true	false	false	false	ONA	Finished	Original	10	900000	1560470400	1560470400	76	18090	866	6787	866	1715339928	1715078546	1715339928	1715209237	17823	29186	22742
Aggressive Retsuko Season 3	Aggretsuko: Season 3	アグレッシブ烈子 シーズン3	false	false	false	false	false	false	true	false	false	false	false	false	false	true	false	false	false	false	true	false	false	false	ONA	Finished	Original	10	900000	1598486400	1598486400	77	12634	866	6787	866	1715407135	1715078622	1715407135	1715242878	17587	31118	21825
Aggressive Retsuko Season 4	Aggretsuko: Season 4	アグレッシブ烈子 シーズン4	false	false	false	false	false	false	true	false	false	false	false	false	false	true	false	false	false	false	true	false	false	false	ONA	Finished	Original	10	1080000	1639612800	1639612800	72	6663	866	6787	866	1725397732	1715078706	1725397732	1720238219	19003	30485	23603
Aggressive Retsuko Season 5	Aggretsuko: Season 5	アグレッシブ烈子 シーズン5	false	false	false	false	false	false	true	false	false	false	false	false	false	true	false	false	false	false	true	false	false	false	ONA	Finished	Original	10	1200000	1676505600	1676505600	74	3550	866	150	150	1725398235	1715078893	1725398235	1720238564	18979	44331	23847
Aggressive Retsuko: We Wish You A Metal Christmas	Aggretsuko: We Wish You A Metal Christmas	アグレッシブ烈子：We Wish You a Metal Christmas	false	false	false	false	false	false	true	false	false	false	false	false	false	true	false	false	false	false	true	false	false	false	ONA	Finished	Original	1	1320000	1545264000	1545264000	71	7820	866	150	866	1725386485	1709466828	1725386485	1717426656	34388	41014	37701
Aharen-san wa Hakarenai	Aharen-san wa Hakarenai	阿波連さんははかれない	false	true	false	false	false	false	true	false	false	false	false	false	false	false	false	false	true	false	true	false	false	false	TV	Finished	Manga	12	1440000	1648857600	1655510400	72	32481	6126	6389	6126	1691552678	1709466829	1709466830	1709466830	25634	38023	30081
Ahiru no Otegara	?	アヒルのお手柄	false	false	true	false	false	true	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	Movie	Finished	Original	1	60000	0	0	44	325	0	0	0	1713359889	1713359889	1713359889	1713359889	3292	38912	21102
Ahiru no Sora	Ahiru no Sora	あひるの空	false	true	false	false	false	false	false	true	false	false	false	false	false	false	false	false	false	false	false	true	false	false	TV	Finished	Manga	50	1440000	1569974400	1601424000	70	16614	51	376	51	1603733286	1709466831	1709466833	1709466832	27450	37966	31679
Aho-Girl	AHO-GIRL	アホガール	false	true	false	false	false	false	true	false	false	false	false	false	false	false	false	false	true	false	false	false	false	false	TV Short	Finished	Manga	12	780000	1499126400	1505779200	64	51096	51	6202	51	1717377557	1709466835	1717377557	1717377557	13483	30897	17605
Ai Shoujo Pollyanna Story	?	愛少女ポリアンナ物語	false	false	false	false	false	false	false	true	false	false	false	false	false	false	false	false	false	false	true	false	false	false	TV	Finished	Novel	51	1560000	505267200	536112000	66	354	22	0	22	1724770555	1724770550	1724770555	1724770552	9302630	9796719	9549674
Ai no Utagoe wo Kikasete	Sing a Bit of Harmony	アイの歌声を聴かせて	false	true	true	false	false	false	false	false	false	false	false	false	false	true	false	false	false	true	false	false	false	false	Movie	Finished	Original	1	6540000	1635465600	1635465600	76	6269	7	102	7	1717238442	1709466846	1717238442	1717238442	148001	323185	151902
Ai no Wakakusa Monogatari	Tales of Little Women	愛の若草物語	false	true	false	false	false	false	false	true	false	false	false	false	false	false	false	false	false	false	true	false	false	false	TV	Finished	Novel	48	1440000	537321600	567561600	71	529	22	841	22	1690866815	1709474585	1709474586	1709474585	24403	38773	30357
Aikatsu Friends!	?	アイカツフレンズ!	false	false	false	false	false	false	false	false	false	false	false	false	false	true	false	false	false	false	false	false	false	false	TV	Finished	Original	50	1440000	1522886400	1553731200	71	1264	6116	0	6116	1717124753	1709466837	1709466838	1709466837	23835	30641	28101
Aikatsu Friends!: Kagayaki no Jewel	?	アイカツフレンズ！～かがやきのジュエル～	false	false	false	false	false	false	false	false	false	false	false	false	false	true	false	false	false	false	false	false	false	false	TV	Finished	Original	26	1440000	1554336000	1569456000	71	772	6116	0	6116	1717124887	1709466837	1709466838	1709466837	22968	32213	27126
Aikatsu Planet!	?	アイカツプラネット！	false	true	false	false	false	false	false	false	false	false	false	false	false	true	false	false	false	false	false	false	false	false	TV	Finished	Original	25	1440000	1610236800	1624752000	61	480	6116	0	6116	1727331374	1709466844	1727331374	1725015311	3451	109702	26242
Aikatsu Stars!	?	アイカツスターズ！	false	false	false	false	false	false	true	false	false	false	false	false	false	true	false	false	false	false	false	false	false	false	TV	Finished	Video Game	50	1440000	1459987200	1490832000	75	1705	6116	0	6116	1717123934	1709466836	1709466838	1709466837	22494	30719	26559
Aikatsu Stars! Hoshi no Tsubasa	?	アイカツスターズ！ 星のツバサ	false	false	false	false	false	false	false	false	false	false	false	false	false	true	false	false	false	false	false	false	false	false	TV	Finished	Video Game	50	1440000	1491436800	1522281600	79	679	6116	0	6116	1717124022	1709466836	1709466838	1709466837	23551	30818	27538
Aikatsu on Parade!	?	アイカツオンパレード！	false	true	false	false	false	false	false	false	false	false	false	false	false	true	false	false	false	false	true	false	false	false	TV	Finished	Original	25	1440000	1570233600	1585353600	69	724	6116	0	6116	1586218419	1709466843	1709466844	1709466843	21361	102547	26686
Aikatsu!	?	アイカツ!	false	true	false	false	false	false	false	false	false	false	false	false	false	true	false	false	false	false	false	false	false	false	TV	Finished	Video Game	50	1440000	1349654400	1380153600	74	3398	14	16	14	1717382180	1709466839	1717382180	1717380065	22958	1774616	29720
Aikatsu! 2	?	アイカツ! 2	false	false	false	false	false	false	false	false	false	false	false	false	false	true	false	false	false	false	false	false	false	false	TV	Finished	Video Game	51	1440000	1380758400	1411603200	78	1221	14	16	14	1717382643	1717379393	1717382180	1717380807	22241	37614	30580
Aikatsu! 3	?	アイカツ! 3	false	false	false	false	false	false	false	false	false	false	false	false	false	true	false	false	false	false	false	false	false	false	TV	Finished	Video Game	51	1440000	1412208000	1443052800	77	958	14	23	14	1717382920	1717379595	1717382180	1717380871	22308	33949	28066
Aikatsu! 4	Aikatsu! 4	アイカツ! 4	false	false	false	false	false	false	false	false	false	false	false	false	false	true	false	false	false	false	false	false	false	false	TV	Finished	Video Game	26	1440000	1443657600	1459382400	78	790	14	23	23	1717382970	1717379711	1717382180	1717380970	23280	33721	28271
Aishite Knight	?	愛してナイト	false	true	false	false	false	false	true	false	false	false	false	false	false	true	false	false	true	false	false	false	false	false	TV	Finished	Manga	42	1500000	415324800	443750400	65	631	18	55	18	1717386840	1717386840	1717386840	1717386840	21496	35122	28982
Ajin	AJIN: Demi-Human	亜人	false	true	false	false	true	false	false	false	false	false	true	false	false	false	true	false	false	false	false	false	true	false	TV	Finished	Manga	13	1440000	1452902400	1460160000	71	44286	6067	0	6067	1726289495	1709466851	1726289495	1717391703	24102	67495	61967
Ajin 2	AJIN: Demi-Human 2	亜人 2	false	true	false	false	true	false	false	false	false	false	true	false	false	false	true	false	false	false	false	false	true	false	TV	Finished	Manga	13	1440000	1475884800	1482537600	73	26869	6067	0	6067	1726289628	1709466853	1726289628	1717392083	24096	1225052	49699
Ajin OVA	?	亜人OVA	false	false	false	false	true	false	false	false	false	false	true	false	false	false	true	false	false	false	false	false	true	false	OVA	Finished	Manga	3	1320000	1462492800	1491523200	68	3408	6067	0	6067	1714881550	1709466853	1709466853	1709466853	22047	27031	23289
Akagami no Shirayuki-hime	Snow White with the Red Hair	赤髪の白雪姫	false	true	false	false	false	false	false	true	false	true	false	false	false	false	false	false	true	false	false	false	false	false	TV	Finished	Manga	12	1440000	1436227200	1442880000	76	57673	4	0	4	1714123857	1709466855	1714123857	1714123614	24740	38923	27319
Akagami no Shirayuki-hime 2nd Season	Snow White with the Red Hair Season 2	赤髪の白雪姫 2ndシーズン	false	false	false	false	false	false	false	true	false	true	false	false	false	false	false	false	true	false	false	false	false	false	TV	Finished	Manga	12	1440000	1452556800	1459209600	78	34638	4	0	4	1714124124	1709466855	1714124124	1714123627	22671	39759	30004
Akagami no Shirayuki-hime: Nandemonai Takaramono, Kono Page	Snow White with the Red Hair: Nandemonai Takaramono, Kono Page	赤髪の白雪姫 ～なんでもない宝物、この頁～	false	false	false	false	false	false	false	true	false	true	false	false	false	false	false	false	true	false	false	false	false	false	OVA	Finished	Manga	1	1440000	1451952000	1451952000	75	7515	4	0	4	1717392619	1709466855	1709466855	1709466855	37738	37738	37738
Akage no Anne	Anne of Green Gables	赤毛のアン	false	true	false	false	false	false	false	true	false	false	false	false	false	false	false	false	false	false	true	false	false	false	TV	Finished	Novel	50	1500000	284515200	315360000	79	2618	22	0	22	1717392786	1717392786	1717392786	1717392786	20554	35844	28928
Akage no Anne: Green Gables e no Michi	?	赤毛のアン グリーンゲーブルズへの道	false	false	true	false	false	true	false	false	false	false	false	false	false	false	false	false	false	false	true	false	false	false	Movie	Finished	Novel	1	5940000	1279324800	1279324800	64	228	0	22	22	1717392700	1709470890	1709470890	1709470890	7008786	7008786	7008786
Akame ga Kill!	Akame ga Kill!	アカメが斬る！	false	true	false	false	true	true	false	true	false	true	true	false	false	false	false	true	false	false	false	false	false	true	TV	Finished	Manga	24	1440000	1404691200	1418601600	72	213890	314	376	314	1717393289	1709466858	1717393289	1714625052	19962	182004	29435
Akane Sasu Shoujo	The Girl in Twilight	あかねさす少女	false	true	false	false	true	true	false	false	false	false	false	true	false	false	false	false	false	true	false	false	false	false	TV	Finished	Original	12	1440000	1538352000	1545004800	60	3565	6154	0	6154	1545073792	1709466921	1709466921	1709466921	27891	35027	32820
Akane-iro ni Somaru Saka OVA	The Hill Dyed Rose Madder OVA	あかね色に染まる坂 OVA	false	true	false	false	false	false	true	false	true	false	false	false	false	false	false	false	true	false	false	false	false	false	Special	Finished	Visual Novel	1	1560000	1245974400	1245974400	58	3094	120	82	82	1664770403	1709466860	1709466860	1709466860	42277	108660	75468
Akatsuki no Yona	Yona of the Dawn	暁のヨナ	false	true	false	false	true	true	true	true	false	true	false	false	false	false	false	false	true	false	false	false	false	false	TV	Finished	Manga	24	1440000	1412640000	1427155200	79	66785	1	6259	1	1717401455	1709466922	1717401455	1717400505	46436	5550919	76097
Akebi-chan no Sailor Fuku	Akebi’s Sailor Uniform	明日ちゃんのセーラー服	false	true	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	true	false	false	false	TV	Finished	Manga	12	1440000	1641686400	1648339200	75	18755	6222	17	6222	1652754149	1709466925	1709466925	1709466925	14006	32353	26867
Aki no Kanade	?	アキの奏で	false	false	true	false	false	false	false	false	false	false	false	false	false	true	false	false	false	false	true	false	false	false	Movie	Finished	Original	1	1440000	1426982400	1426982400	66	2535	7	0	7	1713495172	1709480190	1709480190	1709480190	34231	34231	34231
Akiba Meid Sensou	Akiba Maid War	アキバ冥途戦争	false	true	false	false	true	false	true	true	false	false	false	false	false	false	false	false	false	false	false	false	false	false	TV	Finished	Original	12	1440000	1665100800	1671753600	74	17964	132	6310	132	1717236494	1709466925	1717236494	1713351710	27605	85391	49430
Aku no Hana	Flowers of Evil	惡の華	false	true	false	false	false	false	false	true	false	false	false	false	false	false	false	true	true	false	false	false	false	false	TV	Finished	Manga	13	1440000	1365120000	1372550400	67	13966	218	92	92	1717402273	1717402258	1717402273	1717402265	15450	35032	27246
Akudama Drive	Akudama Drive	アクダマドライブ	false	true	false	false	true	false	false	true	false	false	false	false	false	false	false	false	false	true	false	false	false	true	TV	Finished	Original	12	1440000	1602115200	1608768000	75	49812	1	711	1	1717402871	1709466928	1717402871	1714423689	24789	181489	34966
Akuma no Riddle	Riddle Story of Devil	悪魔のリドル	false	true	false	false	true	false	false	true	false	false	false	false	false	false	false	false	false	false	false	false	false	false	TV	Finished	Manga	12	1440000	1396569600	1403222400	61	20563	51	315	51	1717403872	1709466932	1717403872	1717403786	26162	34233	28786
